timestamp,step,throughput,en_cons,rlf,on_cost,latency_cell_ms,latency_ue_ms,reward
1760715034727,0,15.19809,4726.0,0.0,1.8,65.5217007142857,65.5217007142857,756313.0527926128
1760715034827,1,17.88403,4966.0,0.0,1.62,125.71972571428572,125.71972571428572,888540.5841708302
1760715034927,2,18.4038,4913.0,0.0,1.4580000000000002,206.00120214285715,206.00120214285715,915522.9815398677
1760715035027,3,17.00464,4636.0,0.0,1.3122,312.72153,312.72153,845828.1343806317
1760715035127,4,16.97841,4843.0,1.0,1.1809800000000001,417.05188571428573,417.05188571428573,846160.2260262927
1760715035227,5,15.07483,6034.0,0.0,1.062882,526.8027678571428,526.8027678571428,750302.4557634955
1760715035327,6,15.39979,5563.0,1.0,0.9565938000000002,653.5755171428572,653.5755171428572,765761.8524473131
1760715035427,7,18.69402,6327.0,1.0,0.8609344200000002,762.636957857143,762.636957857143,931094.8400164926
1760715035527,8,18.9404,6381.0,1.0,0.7748409780000002,865.3526242857143,865.3526242857143,939745.8873271135
1760715035627,9,19.81821,5939.0,2.0,0.6973568802000002,954.1923978571429,954.1923978571429,985268.5753031482
1760715035727,10,19.17463,5925.0,2.0,0.6276211921800001,1046.0598457142858,1046.0598457142858,955354.3721712978
1760715035827,11,18.71,6372.0,2.0,0.5648590729620002,1161.2752935714286,1161.2752935714286,931868.0757738104
1760715035927,12,18.96376,6393.0,3.0,0.5083731656658002,1262.7360757142856,1262.7360757142856,945758.6702617151
1760715036027,13,19.80766,6010.0,3.0,0.4575358490992202,1390.1448442857143,1390.1448442857143,985815.4013304822
1760715036127,14,17.77258,6362.0,3.0,0.41178226418929814,1492.0918878571429,1492.0918878571429,883793.8746916659
1760715036227,15,18.48744,6443.0,3.0,0.3706040377703683,1608.6306207142857,1608.6306207142857,917026.9659902279
1760715036327,16,16.72018,6052.0,3.0,0.33354363399333153,1699.4323471428572,1699.4323471428572,832559.3397080783
1760715036427,17,18.10063,6282.0,4.0,0.30018927059399836,1809.7503528571428,1809.7503528571428,900257.0509085342
1760715036527,18,15.65246,5807.0,2.0,1.0350851717672993,1969.3024635714285,1969.3024635714285,780416.3198682119
1760715036627,19,14.57829,5283.0,2.0,0.9315766545905694,2009.796585,2009.796585,723895.6357647103
1760715036727,20,13.85407,5847.0,2.0,0.8384189891315125,2157.1163471428567,2157.1163471428567,689370.6888753029
1760715036827,21,14.39635,6730.0,1.0,0.7545770902183612,2356.7353885714288,2356.7353885714288,718538.8653013983
1760715036927,22,14.50238,5012.0,2.0,0.6791193811965252,2323.558647142857,2323.558647142857,722262.1364966108
1760715037027,23,16.88105,5286.0,2.0,0.6112074430768726,2520.8767235714286,2520.8767235714286,842043.781582816
1760715037127,24,17.25702,4476.0,2.0,0.5500866987691854,2543.622753571429,2543.622753571429,860299.6451928273
1760715037227,25,8.56134,4398.0,2.0,0.4950780288922669,2678.1352657142857,2678.1352657142857,423053.23589731794
1760715037327,26,11.19299,4740.00001,3.0,0.4455702260030402,2897.736132857143,2897.736132857143,557848.1366882027
1760715037427,27,13.13102,3877.00001,4.0,0.40101320340273616,2933.867763571429,2933.867763571429,653604.2171656257
1760715037527,28,17.83323,4270.00001,5.0,0.3609118830624625,3005.2082149999997,3005.2082149999997,887604.6333264081
1760715037627,29,13.70319,4721.00001,3.0,0.32482069475621633,3124.67824,3124.67824,685159.3238033241
1760715037727,30,12.50605,4614.0,6.0,0.2923386252805947,3164.8440692857143,3164.8440692857143,621795.3826332899
1760715037827,31,12.61831,5137.0,1.0,0.26310476275253525,3665.65538,3665.65538,626035.3204674319
1760715037927,32,12.81208,4550.0,2.0,0.2367942864772817,3436.800315,3436.800315,635416.8982725368
1760715038027,33,12.89795,4828.0,4.0,0.21311485782955353,3853.2951414285712,3853.2951414285712,642145.1948260487
1760715038127,34,13.51376,5180.0,2.0,0.1918033720465982,3728.884730714286,3728.884730714286,671751.0706423424
1760715038227,35,14.24761,5584.0,3.0,0.17262303484193836,3929.3547700000004,3929.3547700000004,708136.4105086718
1760715038327,36,12.85922,5694.0,2.0,0.15536073135774456,4051.7413107142856,4051.7413107142856,638633.3987723828
1760715038427,37,10.96853,5181.0,5.0,0.9182480036314008,4197.985620714286,4197.985620714286,542519.6063967814
1760715038527,38,12.41303,5082.0,5.0,0.8264232032682607,4446.572957142857,4446.572957142857,615823.0282346543
1760715038627,39,11.39818,4731.0,5.0,0.7437808829414347,4424.805423571428,4424.805423571428,567211.768893315
1760715038727,40,10.65551,4887.0,6.0,0.6694027946472911,4420.692788571428,4420.692788571428,529989.2567835138
1760715038827,41,10.99857,5128.0,4.0,0.6024625151825621,4647.061258571428,4647.061258571428,547005.0685770101
1760715038927,42,12.47037,4612.0,6.0,0.5422162636643059,4530.113357142857,4530.113357142857,620012.7274659043
1760715039027,43,13.18125,4458.0,5.0,0.48799463729787534,4915.057269285714,4915.057269285714,657367.8705442365
1760715039127,44,12.70134,4280.0,8.0,0.43919517356808785,4945.545574285715,4945.545574285715,633439.7120704694
1760715039227,45,13.25677,4836.0,8.0,0.395275656211279,4864.503449285714,4864.503449285714,658243.425377055
1760715039327,46,13.79294,4725.0,7.0,0.35574809059015117,5040.352189285714,5040.352189285714,686952.9599864502
1760715039427,47,12.2363,4553.0,8.0,0.320173281531136,5335.895657857143,5335.895657857143,609218.8710341494
1760715039527,48,13.15747,4536.00001,8.0,0.28815595337802247,5217.910066428572,5217.910066428572,654425.2372066972
1760715039627,49,13.13705,4655.00001,10.0,0.2593403580402202,5357.661384999999,5357.661384999999,655082.4847194118
1760715039727,50,14.01609,4400.00001,8.0,0.2334063222361982,5844.166423571429,5844.166423571429,695787.5337896611
1760715039827,51,15.24558,4551.00001,7.0,0.21006569001257835,5923.413932857143,5923.413932857143,759684.0574121984
1760717526586,53,15.19809,4726.0,0.0,1.8,65.5217007142857,65.5217007142857,758108.9327926128
1760717526686,54,17.88403,4966.0,0.0,1.62,125.71972571428572,125.71972571428572,894201.8241708302
1760717526786,55,18.4038,4913.0,0.0,1.4580000000000002,206.00120214285715,206.00120214285715,914589.5115398677
1760717526886,56,17.00464,4636.0,0.0,1.3122,312.72153,312.72153,846708.9743806317
1760717526986,57,16.97841,4843.0,1.0,1.1809800000000001,417.05188571428573,417.05188571428573,846160.2260262927
1760717527086,58,15.07483,6034.0,0.0,1.062882,526.8027678571428,526.8027678571428,750302.4557634955
1760717527186,59,15.39979,5563.0,1.0,0.9565938000000002,653.5755171428572,653.5755171428572,767875.7924473132
1760717527286,60,18.69402,6327.0,1.0,0.8609344200000002,762.636957857143,762.636957857143,929892.7100164926
1760717527386,61,18.9404,6381.0,1.0,0.7748409780000002,865.3526242857143,865.3526242857143,943383.0573271135
1760717527486,62,19.81821,5939.0,2.0,0.6973568802000002,954.1923978571429,954.1923978571429,986396.9853031483
1760717527586,63,19.17463,5925.0,2.0,0.6276211921800001,1046.0598457142858,1046.0598457142858,951977.1221712978
1760717527686,64,18.71,6372.0,2.0,0.5648590729620002,1161.2752935714286,1161.2752935714286,930657.3957738105
1760717527786,65,18.96376,6393.0,3.0,0.5083731656658002,1262.7360757142856,1262.7360757142856,943329.330261715
1760717527886,66,19.80766,6010.0,3.0,0.4575358490992202,1390.1448442857143,1390.1448442857143,986957.3013304822
1760717527986,67,17.77258,6362.0,3.0,0.41178226418929814,1492.0918878571429,1492.0918878571429,883793.8746916659
1760717528086,68,18.48744,6443.0,3.0,0.3706040377703683,1608.6306207142857,1608.6306207142857,918251.1359902279
1760717528186,69,16.72018,6052.0,3.0,0.33354363399333153,1699.4323471428572,1699.4323471428572,832559.3397080783
1760717528286,70,18.10063,6282.0,4.0,0.30018927059399836,1809.7503528571428,1809.7503528571428,900257.0509085342
1760717528386,71,15.65246,5807.0,2.0,1.0350851717672993,1969.3024635714285,1969.3024635714285,779312.9898682119
1760717528486,72,14.57829,5283.0,2.0,0.9315766545905694,2009.796585,2009.796585,725903.1757647102
1760717528586,73,13.85407,5847.0,2.0,0.8384189891315125,2157.1163471428567,2157.1163471428567,689370.6888753029
1760717528686,74,14.39635,6730.0,1.0,0.7545770902183612,2356.7353885714288,2356.7353885714288,715981.4653013983
1760717528786,75,14.50238,5012.0,2.0,0.6791193811965252,2323.558647142857,2323.558647142857,723214.4164966107
1760717528886,76,16.88105,5286.0,2.0,0.6112074430768726,2520.8767235714286,2520.8767235714286,842043.781582816
1760717528986,77,17.25702,4476.0,2.0,0.5500866987691854,2543.622753571429,2543.622753571429,857748.3251928273
1760717529086,78,8.56134,4398.0,2.0,0.4950780288922669,2678.1352657142857,2678.1352657142857,425560.0958973179
1760717529186,79,11.19299,4740.00001,3.0,0.4455702260030402,2897.736132857143,2897.736132857143,556046.9366844028
1760717529286,80,13.13102,3877.00001,4.0,0.40101320340273616,2933.867763571429,2933.867763571429,654340.8471675256
1760717529386,81,17.83323,4270.00001,5.0,0.3609118830624625,3005.2082149999997,3005.2082149999997,890038.533332108
1760717529486,82,13.70319,4721.00001,3.0,0.32482069475621633,3124.67824,3124.67824,680674.3737938241
1760717529586,83,12.50605,4614.0,6.0,0.2923386252805947,3164.8440692857143,3164.8440692857143,622672.0426332899
1760717529686,84,12.61831,5137.0,1.0,0.26310476275253525,3665.65538,3665.65538,626035.3204674319
