timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),eNB id,sameCellSinr,sameCellSinr 3gpp encoded
1761058001485,00055,63,63,1,0,1,23.954424,95.000000
1761058001485,00014,63,63,1,0,1,27.890181,103.000000
1761058001485,00050,63,63,1,0,1,33.285683,113.000000
1761058001485,00057,63,63,1,0,1,24.414222,96.000000
1761058001485,00053,63,63,1,0,1,27.055757,101.000000
1761058001485,00054,63,63,1,0,1,25.925555,99.000000
1761058001485,00047,63,63,1,0,1,25.381120,98.000000
1761058001485,00006,63,63,1,0,1,45.305799,127.000000
1761058001485,00052,63,63,1,0,1,30.690693,108.000000
1761058001485,00018,63,63,1,0,1,25.475947,98.000000
1761058001485,00060,63,63,1,0,1,26.137268,99.000000
1761058001485,00002,63,63,1,0,1,29.138847,105.000000
1761058001485,00008,63,63,1,0,1,25.962640,99.000000
1761058001485,00046,63,63,1,0,1,26.429802,100.000000
